"filename", "language", "JavaScript", "CSS", "JavaScript React", "comment", "blank", "total"
"c:\MAMP\htdocs\marvel_wiki\src\components\App.jsx", "JavaScript React", 0, 0, -6, 1, 2, -3
"c:\MAMP\htdocs\marvel_wiki\src\components\Banner.jsx", "JavaScript React", 0, 0, -20, 0, -1, -21
"c:\MAMP\htdocs\marvel_wiki\src\components\Card-info.jsx", "JavaScript React", 0, 0, 0, 0, -1, -1
"c:\MAMP\htdocs\marvel_wiki\src\components\Card.jsx", "JavaScript React", 0, 0, -3, 0, 0, -3
"c:\MAMP\htdocs\marvel_wiki\src\components\Cards.jsx", "JavaScript React", 0, 0, -21, 15, 4, -2
"c:\MAMP\htdocs\marvel_wiki\src\components\Error.jsx", "JavaScript React", 0, 0, -3, 0, 0, -3
"c:\MAMP\htdocs\marvel_wiki\src\components\Header.jsx", "JavaScript React", 0, 0, -3, 0, 0, -3
"c:\MAMP\htdocs\marvel_wiki\src\components\Random-card.jsx", "JavaScript React", 0, 0, -15, 0, -1, -16
"c:\MAMP\htdocs\marvel_wiki\src\components\test.css", "CSS", 0, 3, 0, 0, 0, 3
"c:\MAMP\htdocs\marvel_wiki\src\services\marvelService.js", "JavaScript", -1, 0, 0, 0, 0, -1
"Total", "-", -1, 3, -71, 16, 3, -50
